CustomerSK,Recency,Frequency,Monetary,Segment,SegmentName
112,1014,1,344422.49,0,Inactive Customers
113,824,1,469121.62,0,Inactive Customers
115,151,1,308699.9,3,Potential Returning Customers
118,529,2,940027.34,2,Loyal Customers
119,130,4,1495608.09,1,VIP Customers
122,849,1,371609.17,0,Inactive Customers
128,313,1,399474.82,3,Potential Returning Customers
129,500,3,1195339.68,1,VIP Customers
131,53,2,849166.23,2,Loyal Customers
132,1152,1,284590.18,0,Inactive Customers
135,1196,1,494406,0,Inactive Customers
137,82,2,1051858.63,2,Loyal Customers
139,257,1,363121.67,3,Potential Returning Customers
141,385,4,1680502.1,1,VIP Customers
142,6,3,1190169.46,1,VIP Customers
143,363,2,713877.92,2,Loyal Customers
144,214,2,904423.15,2,Loyal Customers
145,202,1,408606.99,3,Potential Returning Customers
147,8,1,392968.51,3,Potential Returning Customers
148,860,2,852673.47,2,Loyal Customers
153,1323,1,382508.85,0,Inactive Customers
155,692,1,293450.3,3,Potential Returning Customers
163,131,2,722877.57,2,Loyal Customers
164,1333,1,315021.83,0,Inactive Customers
166,238,1,391266.41,3,Potential Returning Customers
168,947,2,1028273.22,2,Loyal Customers
169,280,2,851626.21,2,Loyal Customers
173,196,1,474701.09,3,Potential Returning Customers
177,738,2,792329.7,2,Loyal Customers
178,612,1,590030.56,3,Potential Returning Customers
180,98,2,840305.32,2,Loyal Customers
181,169,2,1195262.93,2,Loyal Customers
184,1234,1,316850.3,0,Inactive Customers
185,260,2,895432.54,2,Loyal Customers
187,338,1,380548.69,3,Potential Returning Customers
188,1407,1,481481.87,0,Inactive Customers
196,713,2,965561.76,2,Loyal Customers
197,687,1,668476.07,3,Potential Returning Customers
199,850,2,887193.49,2,Loyal Customers
203,124,1,266049.02,3,Potential Returning Customers
207,873,1,302153.95,0,Inactive Customers
212,737,1,492899.75,0,Inactive Customers
214,547,1,331492.1,3,Potential Returning Customers
215,469,3,1342786.77,1,VIP Customers
216,509,1,401708.76,3,Potential Returning Customers
217,238,3,1426364.31,1,VIP Customers
218,1276,1,355547.46,0,Inactive Customers
219,278,2,740745.42,2,Loyal Customers
220,5,1,379837.9,3,Potential Returning Customers
225,239,1,515986.08,3,Potential Returning Customers
226,1254,1,366356.29,0,Inactive Customers
228,51,2,745699.31,2,Loyal Customers
230,266,1,438344.79,3,Potential Returning Customers
235,1384,1,499567.44,0,Inactive Customers
237,675,1,458256.16,3,Potential Returning Customers
239,1299,1,380320.51,0,Inactive Customers
241,537,1,303321.73,3,Potential Returning Customers
245,149,1,401775.85,3,Potential Returning Customers
247,381,2,791377.54,2,Loyal Customers
248,1083,1,474370.59,0,Inactive Customers
253,492,1,516882.26,3,Potential Returning Customers
255,472,1,478058.98,3,Potential Returning Customers
257,429,2,892508.34,2,Loyal Customers
258,48,2,800451.44,2,Loyal Customers
260,62,2,713920.71,2,Loyal Customers
261,448,1,456137.9,3,Potential Returning Customers
265,1337,1,543165.55,0,Inactive Customers
267,304,2,745328.1,2,Loyal Customers
270,122,1,409634.79,3,Potential Returning Customers
273,1387,1,374654.79,0,Inactive Customers
274,1248,1,495268.81,0,Inactive Customers
277,303,2,676548.62,2,Loyal Customers
278,1127,1,481006.26,0,Inactive Customers
282,632,2,822322.05,2,Loyal Customers
283,694,1,383060.19,3,Potential Returning Customers
284,1227,1,548470.03,0,Inactive Customers
286,756,1,234792.61,0,Inactive Customers
288,1305,1,536334.48,0,Inactive Customers
290,265,1,323162.99,3,Potential Returning Customers
291,177,1,408442.35,3,Potential Returning Customers
292,97,2,858599.36,2,Loyal Customers
298,457,1,347671.26,3,Potential Returning Customers
308,9,1,542976.98,3,Potential Returning Customers
312,168,1,411777.64,3,Potential Returning Customers
313,644,2,584582.01,2,Loyal Customers
314,1234,1,212122.72,0,Inactive Customers
315,898,1,439344.89,0,Inactive Customers
318,87,2,1020656.13,2,Loyal Customers
319,443,1,537934.39,3,Potential Returning Customers
322,938,1,545513.62,0,Inactive Customers
323,581,2,812849.87,2,Loyal Customers
324,857,1,691308.52,0,Inactive Customers
325,473,2,644545.7,2,Loyal Customers
326,776,1,531123.83,0,Inactive Customers
327,707,1,443757.85,3,Potential Returning Customers
328,128,2,1079212.97,2,Loyal Customers
329,182,2,888017.82,2,Loyal Customers
330,496,2,1091857.48,2,Loyal Customers
331,1096,1,467640.1,0,Inactive Customers
334,761,1,744925.26,0,Inactive Customers
335,455,1,363018.61,3,Potential Returning Customers
336,143,3,1576380.16,1,VIP Customers
339,15,1,262746.4,3,Potential Returning Customers
340,1257,1,427884.5,0,Inactive Customers
342,714,1,350312.35,3,Potential Returning Customers
345,480,2,992114.17,2,Loyal Customers
346,40,1,476317.46,3,Potential Returning Customers
347,1377,2,1081127.73,2,Loyal Customers
349,499,3,1428199.2,1,VIP Customers
350,146,3,1634348.26,1,VIP Customers
353,115,1,745978.44,3,Potential Returning Customers
354,971,1,446241.31,0,Inactive Customers
357,1318,1,509192.93,0,Inactive Customers
360,573,1,487910.18,3,Potential Returning Customers
369,1321,1,236455.46,0,Inactive Customers
377,206,2,908200.36,2,Loyal Customers
378,623,1,328512.55,3,Potential Returning Customers
381,183,2,915631.83,2,Loyal Customers
384,1163,1,373589.38,0,Inactive Customers
387,161,1,540280.72,3,Potential Returning Customers
388,511,3,1194773.08,1,VIP Customers
389,576,1,382728.66,3,Potential Returning Customers
390,574,2,1263516.25,2,Loyal Customers
391,559,1,527643.39,3,Potential Returning Customers
397,1264,1,396964.85,0,Inactive Customers
403,570,1,580270.11,3,Potential Returning Customers
404,345,2,842819.08,2,Loyal Customers
405,155,2,847318.61,2,Loyal Customers
407,712,1,301425.23,3,Potential Returning Customers
409,484,1,400040.11,3,Potential Returning Customers
414,1205,1,434657.81,0,Inactive Customers
418,396,1,403940.82,3,Potential Returning Customers
419,226,1,382595.92,3,Potential Returning Customers
421,342,1,336761.33,3,Potential Returning Customers
426,115,1,300593.67,3,Potential Returning Customers
430,658,2,791570.79,2,Loyal Customers
433,424,1,326100.63,3,Potential Returning Customers
439,418,1,397244.36,3,Potential Returning Customers
441,878,1,403903.47,0,Inactive Customers
446,1389,1,169578.05,0,Inactive Customers
450,559,1,339914.79,3,Potential Returning Customers
458,1395,1,704599.62,0,Inactive Customers
459,219,1,486121.49,3,Potential Returning Customers
460,969,2,724825.51,2,Loyal Customers
461,530,1,460700.97,3,Potential Returning Customers
464,76,1,356136.18,3,Potential Returning Customers
468,734,2,749171.85,2,Loyal Customers
469,1306,1,391820.97,0,Inactive Customers
472,982,1,429596.03,0,Inactive Customers
473,844,1,422660.68,0,Inactive Customers
476,263,2,898687.19,2,Loyal Customers
477,395,3,1158898.25,1,VIP Customers
483,1296,1,428038.33,0,Inactive Customers
484,205,3,1093739.18,1,VIP Customers
488,333,1,436991.04,3,Potential Returning Customers
490,85,1,459875.67,3,Potential Returning Customers
491,823,1,601104.14,0,Inactive Customers
494,783,2,871835.41,2,Loyal Customers
495,984,1,454501.56,0,Inactive Customers
496,865,1,422232.72,0,Inactive Customers
498,1310,1,312784.07,0,Inactive Customers
499,146,2,1080470.98,2,Loyal Customers
501,824,1,696334.23,0,Inactive Customers
502,645,2,833341.82,2,Loyal Customers
504,1248,2,967744.02,2,Loyal Customers
505,332,1,351359.24,3,Potential Returning Customers
506,463,2,647536.08,2,Loyal Customers
507,803,2,834932.57,2,Loyal Customers
512,660,1,533128,3,Potential Returning Customers
514,270,2,713203.91,2,Loyal Customers
517,1348,1,251868.21,0,Inactive Customers
519,1296,1,343298.04,0,Inactive Customers
520,267,1,564112.62,3,Potential Returning Customers
523,1341,1,543456.61,0,Inactive Customers
524,221,3,1290369.65,1,VIP Customers
526,506,1,347003.61,3,Potential Returning Customers
528,407,1,495629.46,3,Potential Returning Customers
529,74,2,964812.53,2,Loyal Customers
530,1107,2,525495.07,0,Inactive Customers
537,1130,1,545243.58,0,Inactive Customers
540,934,1,343709.78,0,Inactive Customers
543,807,1,427928.79,0,Inactive Customers
545,1351,1,147561.38,0,Inactive Customers
550,497,1,420649.06,3,Potential Returning Customers
553,200,1,424180.73,3,Potential Returning Customers
554,928,1,306634.85,0,Inactive Customers
555,289,3,1168246.56,1,VIP Customers
556,6,3,1369288.29,1,VIP Customers
557,109,1,271167.21,3,Potential Returning Customers
558,942,1,414867.79,0,Inactive Customers
560,177,2,729478.47,2,Loyal Customers
561,1295,1,464303.93,0,Inactive Customers
563,487,1,447268.74,3,Potential Returning Customers
564,1030,1,304968.8,0,Inactive Customers
569,232,1,238168.84,3,Potential Returning Customers
575,381,1,445130.17,3,Potential Returning Customers
576,1382,1,338645.55,0,Inactive Customers
579,140,2,775005.26,2,Loyal Customers
580,1342,1,479114.08,0,Inactive Customers
581,809,1,560615.37,0,Inactive Customers
585,876,1,418812.89,0,Inactive Customers
588,135,1,408092.25,3,Potential Returning Customers
589,973,1,434739.01,0,Inactive Customers
590,802,1,406692.18,0,Inactive Customers
592,1276,1,482917.06,0,Inactive Customers
598,431,1,367952.46,3,Potential Returning Customers
603,492,1,350323.23,3,Potential Returning Customers
604,47,1,394989.92,3,Potential Returning Customers
605,693,1,345259.39,3,Potential Returning Customers
608,81,1,569280.85,3,Potential Returning Customers
609,429,2,923246.72,2,Loyal Customers
610,148,2,567820.85,2,Loyal Customers
611,986,1,477241.82,0,Inactive Customers
613,1092,1,474944.72,0,Inactive Customers
614,1053,1,500665.74,0,Inactive Customers
615,259,1,469250.57,3,Potential Returning Customers
616,172,1,582494.22,3,Potential Returning Customers
619,1310,1,410038.33,0,Inactive Customers
620,1017,2,863539.83,2,Loyal Customers
621,147,2,769857.34,2,Loyal Customers
625,1307,1,355944.48,0,Inactive Customers
626,259,1,562927.14,3,Potential Returning Customers
631,494,2,1036517.63,2,Loyal Customers
632,175,1,316585.6,3,Potential Returning Customers
633,318,1,292884.93,3,Potential Returning Customers
634,731,1,362495.72,0,Inactive Customers
635,498,2,827828.5,2,Loyal Customers
636,943,1,332507.09,0,Inactive Customers
644,1050,1,317481.3,0,Inactive Customers
645,673,1,470814.62,3,Potential Returning Customers
648,937,2,714824.65,2,Loyal Customers
650,1370,1,384593.8,0,Inactive Customers
654,665,1,636405.03,3,Potential Returning Customers
655,552,1,316509.34,3,Potential Returning Customers
658,94,2,703151.14,2,Loyal Customers
660,619,2,879896.45,2,Loyal Customers
662,950,1,297207.5,0,Inactive Customers
663,7,2,927305.15,2,Loyal Customers
664,964,1,386865.45,0,Inactive Customers
666,3,2,820880.84,2,Loyal Customers
668,429,2,877346.5,2,Loyal Customers
671,523,1,357009.45,3,Potential Returning Customers
677,603,2,904049.47,2,Loyal Customers
678,137,1,386097.11,3,Potential Returning Customers
682,675,1,344002.85,3,Potential Returning Customers
684,205,1,608030.66,3,Potential Returning Customers
686,1080,1,315945.92,0,Inactive Customers
687,874,2,733511.93,2,Loyal Customers
692,658,2,966363.62,2,Loyal Customers
695,59,2,877949.06,2,Loyal Customers
697,296,1,383012.1,3,Potential Returning Customers
699,8,1,296441.42,3,Potential Returning Customers
701,264,1,285478.5,3,Potential Returning Customers
702,380,1,462014.37,3,Potential Returning Customers
706,1317,1,309927.45,0,Inactive Customers
709,568,1,502942.48,3,Potential Returning Customers
710,1179,1,278288.01,0,Inactive Customers
711,1420,1,600760.29,0,Inactive Customers
713,1418,1,392544.23,0,Inactive Customers
714,734,1,428438.42,0,Inactive Customers
717,305,2,667932.86,2,Loyal Customers
725,636,1,428580.93,3,Potential Returning Customers
731,40,1,458757.32,3,Potential Returning Customers
732,622,1,387889.64,3,Potential Returning Customers
735,789,2,1163433.13,2,Loyal Customers
738,174,1,412443.18,3,Potential Returning Customers
739,388,2,768160.77,2,Loyal Customers
740,897,1,417539.74,0,Inactive Customers
742,945,1,395222.35,0,Inactive Customers
744,1041,1,327201.97,0,Inactive Customers
745,849,2,795049.87,2,Loyal Customers
747,348,2,929877.16,2,Loyal Customers
749,582,1,415456.55,3,Potential Returning Customers
750,311,2,999782.55,2,Loyal Customers
751,620,1,395871.63,3,Potential Returning Customers
753,1181,1,454281.63,0,Inactive Customers
754,634,3,1034651.28,1,VIP Customers
756,591,1,234805.74,3,Potential Returning Customers
758,1215,1,414340.1,0,Inactive Customers
759,1359,1,584327.25,0,Inactive Customers
762,715,1,195122.84,3,Potential Returning Customers
767,1161,1,391327.06,0,Inactive Customers
768,871,1,380151.67,0,Inactive Customers
769,485,1,443294.46,3,Potential Returning Customers
770,445,1,411170.68,3,Potential Returning Customers
773,870,1,340857.35,0,Inactive Customers
776,729,1,373874.88,0,Inactive Customers
778,1181,1,286557.75,0,Inactive Customers
781,370,2,695450.92,2,Loyal Customers
784,813,2,677458.51,2,Loyal Customers
785,463,1,423206.74,3,Potential Returning Customers
786,172,1,369356.77,3,Potential Returning Customers
788,735,1,368478.31,0,Inactive Customers
789,574,1,412728.09,3,Potential Returning Customers
790,683,1,365654.3,3,Potential Returning Customers
791,119,1,423217.32,3,Potential Returning Customers
794,84,2,882042.48,2,Loyal Customers
795,1037,1,483464.94,0,Inactive Customers
796,1069,1,326641.95,0,Inactive Customers
800,592,1,378414.38,3,Potential Returning Customers
802,359,2,1027036.04,2,Loyal Customers
807,294,1,405991.64,3,Potential Returning Customers
808,74,3,1071375.38,1,VIP Customers
809,389,1,444385.85,3,Potential Returning Customers
811,115,1,587468.89,3,Potential Returning Customers
812,1324,1,524124.53,0,Inactive Customers
813,1393,1,434197.2,0,Inactive Customers
814,965,1,365874.44,0,Inactive Customers
816,1121,2,894840.27,2,Loyal Customers
817,87,1,398245.09,3,Potential Returning Customers
818,865,1,548275.99,0,Inactive Customers
820,847,1,336944.58,0,Inactive Customers
823,1029,1,391884.62,0,Inactive Customers
830,454,2,1033096.68,2,Loyal Customers
832,176,1,361359.83,3,Potential Returning Customers
836,407,1,325090.95,3,Potential Returning Customers
845,210,1,308686.13,3,Potential Returning Customers
846,1,2,1010091.54,2,Loyal Customers
851,487,2,930832.65,2,Loyal Customers
853,802,1,380561.46,0,Inactive Customers
855,866,1,351418.37,0,Inactive Customers
856,482,2,1135056.24,2,Loyal Customers
857,34,1,511416.57,3,Potential Returning Customers
860,953,1,400858.52,0,Inactive Customers
861,605,2,624614.39,2,Loyal Customers
864,855,2,748241.41,2,Loyal Customers
865,290,2,739189.48,2,Loyal Customers
868,984,1,432426.7,0,Inactive Customers
869,740,1,351970.28,0,Inactive Customers
870,128,1,504000.72,3,Potential Returning Customers
875,1052,1,405065.83,0,Inactive Customers
877,1420,1,422492.43,0,Inactive Customers
879,430,1,362788.07,3,Potential Returning Customers
880,906,2,764361.18,2,Loyal Customers
883,1416,1,412024.67,0,Inactive Customers
886,239,1,178895.48,3,Potential Returning Customers
890,151,2,695186.47,2,Loyal Customers
891,597,2,988963.37,2,Loyal Customers
892,981,2,685216.69,2,Loyal Customers
893,483,4,1420182.62,1,VIP Customers
894,334,3,1255158.19,1,VIP Customers
895,867,1,414042.53,0,Inactive Customers
896,1258,1,642438.94,0,Inactive Customers
898,1185,1,398221.96,0,Inactive Customers
901,1101,1,343815.76,0,Inactive Customers
902,864,1,381203.8,0,Inactive Customers
903,824,1,502129.26,0,Inactive Customers
904,1278,1,449106.81,0,Inactive Customers
905,892,1,332399.3,0,Inactive Customers
907,85,2,881453.36,2,Loyal Customers
908,159,1,551673.87,3,Potential Returning Customers
912,221,1,558244.53,3,Potential Returning Customers
913,607,1,534764.44,3,Potential Returning Customers
915,581,1,478478.39,3,Potential Returning Customers
918,862,2,1126216.67,2,Loyal Customers
923,152,2,912128.63,2,Loyal Customers
924,1225,1,282042.54,0,Inactive Customers
927,118,1,280036.71,3,Potential Returning Customers
929,1284,1,318210.22,0,Inactive Customers
931,2,2,990296.95,2,Loyal Customers
933,1122,1,355280.41,0,Inactive Customers
939,111,3,1226024.75,1,VIP Customers
940,81,1,296382.47,3,Potential Returning Customers
944,784,2,705012.07,2,Loyal Customers
945,1025,1,419524.59,0,Inactive Customers
946,561,1,272864.69,3,Potential Returning Customers
947,1184,1,488946.63,0,Inactive Customers
951,1352,1,505031.75,0,Inactive Customers
954,1402,1,496063.46,0,Inactive Customers
956,774,2,825770.24,2,Loyal Customers
958,157,2,653463.34,2,Loyal Customers
959,689,1,336771.74,3,Potential Returning Customers
963,830,1,545822.27,0,Inactive Customers
964,680,1,428671.01,3,Potential Returning Customers
965,507,1,578607.88,3,Potential Returning Customers
967,664,1,173145.83,3,Potential Returning Customers
970,403,1,400170.47,3,Potential Returning Customers
972,671,3,1378564.89,1,VIP Customers
976,634,1,537090.55,3,Potential Returning Customers
979,593,1,385306.87,3,Potential Returning Customers
980,1081,2,834787.67,2,Loyal Customers
982,1308,1,332130.06,0,Inactive Customers
984,1265,1,670595.83,0,Inactive Customers
985,326,2,683548.29,2,Loyal Customers
986,1395,1,399462.36,0,Inactive Customers
990,355,1,502135.38,3,Potential Returning Customers
991,239,1,360719.33,3,Potential Returning Customers
993,758,2,832665.42,2,Loyal Customers
999,840,1,425677.75,0,Inactive Customers
1002,1388,1,346707.19,0,Inactive Customers
1006,596,1,340029.28,3,Potential Returning Customers
1007,446,2,803101.98,2,Loyal Customers
1011,573,2,792172.87,2,Loyal Customers
1012,712,1,388581.16,3,Potential Returning Customers
1014,206,1,361405.98,3,Potential Returning Customers
1016,1213,1,368033.76,0,Inactive Customers
1018,850,1,516573.8,0,Inactive Customers
1020,573,1,322105.55,3,Potential Returning Customers
1022,1147,1,381146.53,0,Inactive Customers
1023,1067,1,315408.48,0,Inactive Customers
1024,192,2,893693.01,2,Loyal Customers
1026,1035,1,449405.07,0,Inactive Customers
1028,25,2,783147.61,2,Loyal Customers
1035,283,1,511085.73,3,Potential Returning Customers
1039,807,2,831266.97,2,Loyal Customers
1040,481,1,335548.06,3,Potential Returning Customers
1043,1328,1,349637.44,0,Inactive Customers
1044,516,3,1123930.13,1,VIP Customers
1045,374,1,365861.18,3,Potential Returning Customers
1046,446,1,439554.03,3,Potential Returning Customers
1052,685,1,363056.12,3,Potential Returning Customers
1055,448,1,363060.99,3,Potential Returning Customers
1056,1210,1,508937.57,0,Inactive Customers
1057,220,2,680574.79,2,Loyal Customers
1058,246,1,496944.79,3,Potential Returning Customers
1059,861,1,306414.93,0,Inactive Customers
1060,86,3,1234760.66,1,VIP Customers
1061,37,2,716338.36,2,Loyal Customers
1065,390,1,518355.79,3,Potential Returning Customers
1070,375,1,298317.24,3,Potential Returning Customers
1071,1017,1,431108.17,0,Inactive Customers
1074,95,1,285323.28,3,Potential Returning Customers
1075,1035,1,374264.34,0,Inactive Customers
1077,339,2,1104087.98,2,Loyal Customers
1079,1012,1,462887.79,0,Inactive Customers
1080,291,4,1519019.13,1,VIP Customers
1082,1401,1,335083.44,0,Inactive Customers
1083,917,1,547381.78,0,Inactive Customers
1084,160,1,348839.6,3,Potential Returning Customers
1085,807,1,481790.75,0,Inactive Customers
1087,196,2,747653.27,2,Loyal Customers
1089,493,1,343718.75,3,Potential Returning Customers
1091,1086,1,541982.27,0,Inactive Customers
1109,71,1,408977.96,3,Potential Returning Customers
1111,977,1,354893.33,0,Inactive Customers
1112,414,1,470937.8,3,Potential Returning Customers
1116,491,1,410104.19,3,Potential Returning Customers
1119,1021,1,536742.46,0,Inactive Customers
1123,822,1,427613.73,0,Inactive Customers
1124,264,2,787844.99,2,Loyal Customers
1125,485,2,819970.53,2,Loyal Customers
1126,412,1,328810.36,3,Potential Returning Customers
1132,280,1,362577.68,3,Potential Returning Customers
1135,1170,1,377382.5,0,Inactive Customers
1137,284,1,353892,3,Potential Returning Customers
1139,1341,1,470988.89,0,Inactive Customers
1141,576,1,416282.72,3,Potential Returning Customers
1142,624,1,656930.41,3,Potential Returning Customers
1144,336,2,852902.41,2,Loyal Customers
1146,58,3,1345853.41,1,VIP Customers
1147,1352,1,373068.68,0,Inactive Customers
1151,6,1,492818.79,3,Potential Returning Customers
1153,85,1,428390.57,3,Potential Returning Customers
1164,1059,1,316043.18,0,Inactive Customers
1165,57,1,328301.31,3,Potential Returning Customers
1166,144,1,292068.18,3,Potential Returning Customers
1167,20,1,331718.56,3,Potential Returning Customers
1170,1067,2,892386.05,2,Loyal Customers
1172,678,1,434637.51,3,Potential Returning Customers
1174,457,1,516099.99,3,Potential Returning Customers
1180,833,1,514646.17,0,Inactive Customers
1183,443,1,487994.75,3,Potential Returning Customers
1185,1102,1,425077.59,0,Inactive Customers
1186,369,2,942435.33,2,Loyal Customers
1187,335,1,347153.82,3,Potential Returning Customers
1188,1108,1,379960.29,0,Inactive Customers
1189,271,1,385100.05,3,Potential Returning Customers
1191,543,2,817786.77,2,Loyal Customers
1193,772,1,359903.5,0,Inactive Customers
1194,988,1,375325.94,0,Inactive Customers
1196,608,2,870832.89,2,Loyal Customers
1198,500,2,807724.34,2,Loyal Customers
1199,687,1,247365.82,3,Potential Returning Customers
1200,244,1,544585.59,3,Potential Returning Customers
1204,473,1,372256.68,3,Potential Returning Customers
1205,1018,1,728285.14,0,Inactive Customers
1207,157,1,256595.7,3,Potential Returning Customers
1208,577,1,411056.19,3,Potential Returning Customers
1209,956,2,783787.55,2,Loyal Customers
1210,784,2,911955.15,2,Loyal Customers
1211,267,1,426587.7,3,Potential Returning Customers
1215,49,1,460825.42,3,Potential Returning Customers
1219,1191,1,429688.41,0,Inactive Customers
1223,919,1,353768.18,0,Inactive Customers
1224,1245,1,310156.48,0,Inactive Customers
1225,340,1,407285.22,3,Potential Returning Customers
1227,999,1,407471.57,0,Inactive Customers
1233,239,1,563925.74,3,Potential Returning Customers
1234,134,2,761096.91,2,Loyal Customers
1235,632,1,346048.21,3,Potential Returning Customers
1236,255,1,623513.16,3,Potential Returning Customers
1237,1204,1,547802.85,0,Inactive Customers
1242,420,1,485208.76,3,Potential Returning Customers
1245,542,1,500340.15,3,Potential Returning Customers
1248,626,2,760477.04,2,Loyal Customers
1249,989,1,396336.74,0,Inactive Customers
1250,146,2,904372.21,2,Loyal Customers
1251,134,2,937961.29,2,Loyal Customers
1252,180,1,494122,3,Potential Returning Customers
1256,150,2,935122.1,2,Loyal Customers
1261,1398,1,435070.99,0,Inactive Customers
1266,581,1,441031.46,3,Potential Returning Customers
1269,274,3,1322123.21,1,VIP Customers
1270,808,1,509154.8,0,Inactive Customers
1274,81,3,1364840.48,1,VIP Customers
1276,422,1,400622.58,3,Potential Returning Customers
1277,1042,1,521774.7,0,Inactive Customers
1283,545,1,524830.39,3,Potential Returning Customers
1287,1099,1,357424.68,0,Inactive Customers
1288,1136,1,377515.38,0,Inactive Customers
1290,1125,1,277589.41,0,Inactive Customers
1292,280,1,374541.85,3,Potential Returning Customers
1293,595,1,399526.7,3,Potential Returning Customers
1297,1019,1,614638.97,0,Inactive Customers
1298,1320,1,208132.6,0,Inactive Customers
1299,53,1,421273.73,3,Potential Returning Customers
1301,814,1,302060.41,0,Inactive Customers
1303,1069,1,597704.65,0,Inactive Customers
1304,684,1,523614.35,3,Potential Returning Customers
1305,589,1,312496.8,3,Potential Returning Customers
1307,389,3,1091663.28,1,VIP Customers
1310,1418,1,449310.75,0,Inactive Customers
1312,786,1,429831.7,0,Inactive Customers
1315,1007,2,836577.2,2,Loyal Customers
1317,946,1,585035,0,Inactive Customers
1319,175,1,305375.76,3,Potential Returning Customers
1320,1187,1,599296.17,0,Inactive Customers
1323,173,3,1188438.68,1,VIP Customers
1326,323,1,492245.09,3,Potential Returning Customers
1328,1027,1,383153.24,0,Inactive Customers
1332,781,1,650416.91,0,Inactive Customers
1336,1197,1,502660.95,0,Inactive Customers
1337,286,1,598187.43,3,Potential Returning Customers
1338,505,1,416681.86,3,Potential Returning Customers
1340,1095,1,519052.29,0,Inactive Customers
1341,664,1,524037.41,3,Potential Returning Customers
1343,853,2,705738.01,2,Loyal Customers
1346,185,1,588193.27,3,Potential Returning Customers
1353,1318,1,516806.48,0,Inactive Customers
1354,596,1,464283.09,3,Potential Returning Customers
1356,574,1,459653.84,3,Potential Returning Customers
1361,515,1,518263.99,3,Potential Returning Customers
1363,300,1,512000.4,3,Potential Returning Customers
1364,496,1,305104.26,3,Potential Returning Customers
1365,684,2,854678.99,2,Loyal Customers
1366,467,1,434542.12,3,Potential Returning Customers
1373,394,1,405685.77,3,Potential Returning Customers
1374,1212,1,454488.53,0,Inactive Customers
1380,958,1,461795.91,0,Inactive Customers
1381,577,3,1248612.86,1,VIP Customers
1386,896,2,1071880.87,2,Loyal Customers
1387,536,1,419218.12,3,Potential Returning Customers
1388,505,1,458539.84,3,Potential Returning Customers
1389,480,2,758197.57,2,Loyal Customers
1391,935,1,394829.3,0,Inactive Customers
1394,1140,1,350734.93,0,Inactive Customers
1396,1369,1,467871.01,0,Inactive Customers
1397,1093,1,428665.16,0,Inactive Customers
1400,137,2,587280.26,2,Loyal Customers
1401,354,1,447722.3,3,Potential Returning Customers
1403,627,1,468943.8,3,Potential Returning Customers
1404,657,2,898515.96,2,Loyal Customers
1406,758,1,398964.22,0,Inactive Customers
1408,1186,2,1032255.48,2,Loyal Customers
1410,268,2,747293.66,2,Loyal Customers
1412,692,1,506706.83,3,Potential Returning Customers
1414,1214,1,543883.36,0,Inactive Customers
1418,336,1,289269.3,3,Potential Returning Customers
1421,460,1,528915.23,3,Potential Returning Customers
